asset,fold,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count
JPM,5,Ridge,rolling_5y,6.700127722333041e-05,0.008185430790332932,0.006200055398122969,0.007187219655306303,0.728090577632116,0.8537686673346636,0.007768951177885393,0.015216700034216046,0.002385100000537932,8
JPM,6,Choquet 1-additive,rolling_5y,8.191369183947983e-05,0.009050618312550796,0.007016068139724387,0.007940897007237685,0.6461672948551945,0.8094111214196463,0.00832163185026546,0.01984309998806566,0.017300300009083003,8
JPM,6,Choquet 1-additive scaled-q,rolling_5y,0.00019249602552546117,0.013874293694652033,0.010724118738264085,0.01359826330887908,0.1684981117104295,0.4259830135757545,0.012192639231648289,0.0077133000013418496,0.005862199992407113,9
JPM,6,Choquet 2-additive,rolling_5y,8.279813683644574e-05,0.009099348154480394,0.00702629079778714,0.008209990943459625,0.6423468643654847,0.8073689737975387,0.008498909417822767,0.05153609998524189,0.04399809997994453,29
JPM,6,Choquet 2-additive L1,rolling_5y,8.305504203471822e-05,0.00911345390259468,0.007074708187987031,0.008046428005338514,0.6412371419341159,0.8070498766023859,0.008311293874243248,0.21056990005308762,0.07683680002810434,29
JPM,6,Choquet 2-additive scaled-q,rolling_5y,0.00019249602552546117,0.013874293694652033,0.010724118738264081,0.013598263308879085,0.1684981117104295,0.4259830135757544,0.012192639231648289,0.010731899994425476,0.006452200002968311,30
JPM,6,Choquet 2-additive scaled-q L1,rolling_5y,0.00019249602533639014,0.013874293687838315,0.010724118787025538,0.01359826315075015,0.16849811252713687,0.4259830140167738,0.012192639170564679,0.03778290003538132,0.007479000021703541,30
JPM,6,Elastic net,rolling_5y,7.177592336431036e-05,0.00847206724266931,0.0064416769746154755,0.0070487071582673025,0.6899581918731224,0.8313397311109052,0.007959436204536272,0.03306950000114739,0.0022081999923102558,8
JPM,6,Lasso,rolling_5y,7.213599454787696e-05,0.008493291149364712,0.006452610611778124,0.007041974377981452,0.6884028357651871,0.8301969088479444,0.007960376517304054,0.014899900008458644,0.002271000004839152,8
JPM,6,Monotone linear,rolling_5y,8.132054130687832e-05,0.009017790267403557,0.00696753678764806,0.00793034173275508,0.6487294557442405,0.8113941646511188,0.008306241231051432,0.005218799982685596,0.003077800036408007,8
JPM,6,OLS,rolling_5y,7.238513796240336e-05,0.008507945578246452,0.006459508716753214,0.007037676325637261,0.687326640975876,0.829447873681056,0.007961219082316097,0.0038232000079005957,0.002274800033774227,8
JPM,6,OLS oriented,rolling_5y,7.238513796240336e-05,0.008507945578246452,0.006459508716753214,0.007037676325637261,0.687326640975876,0.829447873681056,0.007961219082316097,0.0047079999931156635,0.0027947999769821763,8
JPM,6,Ridge,rolling_5y,7.088310453716731e-05,0.00841921044618599,0.006399021620504206,0.007070199554603938,0.6938147937881148,0.8345426954183205,0.007866860218822255,0.0152026999858208,0.0021118000149726868,8
KO,0,Choquet 1-additive,rolling_5y,0.00027321980953484205,0.016529362042584768,0.011250349021438632,0.014405012419119258,0.43074312390874847,0.6579177292179061,0.008251546474046046,0.0188715000404045,0.016258700052276254,8
KO,0,Choquet 1-additive scaled-q,rolling_5y,0.0004171626728470913,0.020424560530084637,0.013857284717688646,0.019243566512699643,0.13083637540370774,0.3640873667384151,0.01012951596020088,0.0073034000233747065,0.005238300014752895,9
KO,0,Choquet 2-additive,rolling_5y,0.0002702360950581867,0.016438859299178477,0.01105680580956864,0.014576572487883691,0.43695973018272527,0.6635598648261187,0.00830289927125614,0.06242019997444004,0.044156999967526644,29
KO,0,Choquet 2-additive L1,rolling_5y,0.0002578846368663526,0.016058786905191583,0.011061382588674512,0.014120455613890482,0.4626941471615884,0.6822999632724883,0.00827492719442425,0.2363739999709651,0.06039759999839589,29
KO,0,Choquet 2-additive scaled-q,rolling_5y,0.0004171626728470914,0.02042456053008464,0.013857284717688647,0.01924356651269964,0.13083637540370752,0.3640873667384151,0.01012951596020088,0.008870200021192431,0.006393899966496974,30
KO,0,Choquet 2-additive scaled-q L1,rolling_5y,0.0004171626728470914,0.02042456053008464,0.013857284717688647,0.01924356651269964,0.13083637540370752,0.3640873667384151,0.01012951596020088,0.038707799976691604,0.006926100002601743,30
KO,0,Elastic net,rolling_5y,0.00013487401172917657,0.011613527101151338,0.007970503462896137,0.010308637026761434,0.7189883167199307,0.856461119785439,0.00817498508258744,0.04093359998660162,0.0021931000519543886,8
KO,0,Lasso,rolling_5y,0.00013537056413734033,0.011634885652095611,0.007989245295190558,0.0103416167147805,0.717953743593011,0.8560706331528555,0.008177034760847997,0.014462099992670119,0.011469299963209778,8
KO,0,Monotone linear,rolling_5y,0.00020042824238777256,0.014157268182378002,0.00920293413156989,0.012691093847582885,0.5824052606713581,0.8328035579833198,0.008269347236054094,0.005414600018411875,0.0029346999945119023,8
KO,0,OLS,rolling_5y,0.0001347322769447308,0.01160742335510904,0.00796483048009474,0.010298657674054721,0.7192836229086161,0.8565654898390471,0.008174305152071975,0.003809100016951561,0.002790299942716956,8
KO,0,OLS oriented,rolling_5y,0.0001347322769447308,0.01160742335510904,0.00796483048009474,0.010298657674054721,0.7192836229086161,0.8565654898390471,0.008174305152071975,0.004965100029949099,0.00305499997921288,8
KO,0,Ridge,rolling_5y,0.00013473211770347778,0.011607416495649572,0.00796483849745937,0.010298678663593757,0.71928395468975,0.8565662061141639,0.008174316480653124,0.014603299961891025,0.002159799973014742,8
KO,1,Choquet 1-additive,rolling_5y,4.301852830120187e-05,0.006558851141869426,0.004559394948049178,0.00598187927858409,0.5325061183252976,0.7490720709183345,0.01602808811199343,0.018986099981702864,0.014231600041966885,8
KO,1,Choquet 1-additive scaled-q,rolling_5y,8.27744325451004e-05,0.009098045534349694,0.006880803670062328,0.009138140558443638,0.10046804709382207,0.32039872467579184,0.020478987086890006,0.007528899994213134,0.005276800016872585,9
KO,1,Choquet 2-additive,rolling_5y,3.916416368461354e-05,0.006258127809865626,0.004230493802311476,0.005558548520427722,0.5743925320905998,0.7756871000295734,0.016432320934340636,0.03953529999125749,0.048855300003197044,29
KO,1,Choquet 2-additive L1,rolling_5y,4.139102094942674e-05,0.006433585388368351,0.0043865737285995856,0.005855747484755694,0.5501926771031397,0.768432645347859,0.016042293652045393,0.17085990001214668,0.03827139997156337,29
KO,1,Choquet 2-additive scaled-q,rolling_5y,8.277443254510041e-05,0.009098045534349694,0.006880803670062329,0.009138140558443641,0.10046804709382195,0.3203987246757916,0.020478987086890006,0.00884660001611337,0.006454199959989637,30
KO,1,Choquet 2-additive scaled-q L1,rolling_5y,8.27744323081492e-05,0.0090980455213276,0.006880803681910341,0.00913814046088304,0.10046804966883427,0.32039872522731155,0.020478987035445616,0.038153500005137175,0.007858800003305078,30
KO,1,Elastic net,rolling_5y,5.277248903843478e-05,0.007264467567443245,0.0052747638688247335,0.005921735904141937,0.4265072116489793,0.6844400099003591,0.011480141445223245,0.03320579999126494,0.0023968000314198434,8
KO,1,Lasso,rolling_5y,5.249966865651351e-05,0.007245665508185809,0.005253220733980169,0.005901336909423663,0.4294720238910751,0.6854385285314915,0.011503384965632406,0.015195899992249906,0.00246229994809255,8
KO,1,Monotone linear,rolling_5y,3.8846136873976224e-05,0.006232666915051391,0.004243056529596015,0.0051073418470741,0.5778486147148236,0.7614592897421332,0.014328215353959308,0.005108200013637543,0.002990200009662658,8
KO,1,OLS,rolling_5y,5.286439212852756e-05,0.007270790337269227,0.00528195239787826,0.005928539638900657,0.4255084761268212,0.6841069031336208,0.011473150033698722,0.0036980999866500497,0.0021353000192902982,8
KO,1,OLS oriented,rolling_5y,5.286439212852756e-05,0.007270790337269227,0.00528195239787826,0.005928539638900657,0.4255084761268212,0.6841069031336208,0.011473150033698722,0.005094200023449957,0.002791800012346357,8
KO,1,Ridge,rolling_5y,5.286318984894704e-05,0.007270707658058261,0.005281859817428643,0.005928457638751053,0.4255215416213918,0.6841115495356507,0.011473181889334532,0.014784599945414811,0.0021695999894291162,8
KO,2,Choquet 1-additive,rolling_5y,5.4062458535499045e-05,0.007352717765255174,0.005456766346640319,0.006522457881503493,0.6495571030985885,0.8077898781811169,0.006555859005710293,0.016286699974443763,0.014470299996901304,8
KO,2,Choquet 1-additive scaled-q,rolling_5y,0.00012494708880589624,0.011177973376506863,0.008183897081892294,0.010594992418568988,0.1900697647373093,0.43826723034318416,0.009102406547368814,0.007665599987376481,0.00553680001758039,9
KO,2,Choquet 2-additive,rolling_5y,4.338972559044042e-05,0.006587087792829273,0.004750901610860439,0.005867794325165236,0.7187397402268196,0.8547624874872357,0.006287251882344584,0.05204710003454238,0.051245000038761646,29
KO,2,Choquet 2-additive L1,rolling_5y,4.325328575170989e-05,0.006576723025315107,0.004745974692112383,0.005858542971186775,0.7196241686015687,0.8553015636202723,0.00628877626590793,0.2051159999682568,0.05960800003958866,29
KO,2,Choquet 2-additive scaled-q,rolling_5y,0.00012494708880589624,0.011177973376506863,0.008183897081892294,0.01059499241856899,0.1900697647373093,0.43826723034318404,0.009102406547368816,0.008937400009017438,0.00643020001007244,30
KO,2,Choquet 2-additive scaled-q L1,rolling_5y,0.00012494708936973238,0.01117797340172772,0.008183897137558505,0.010594992380078185,0.1900697610824187,0.43826722870562235,0.009102406531527408,0.03842669998994097,0.0075029999716207385,30
KO,2,Elastic net,rolling_5y,3.68131182528906e-05,0.006067381498874997,0.004550827328721168,0.005348645580738699,0.7613705304199939,0.8744240506157211,0.006403072839368668,0.03314410004531965,0.0022276999661698937,8
KO,2,Lasso,rolling_5y,3.629925337840998e-05,0.0060248861714068905,0.004514485719345598,0.00529820164484427,0.7647014979732105,0.8781067283228443,0.006328792453555804,0.014584399992600083,0.0021424000151455402,8
KO,2,Monotone linear,rolling_5y,4.283479511639413e-05,0.00654482964762217,0.004992780429876141,0.005672437525424637,0.722336902623272,0.8570770282966106,0.006288484252802734,0.005004000035114586,0.0034442999749444425,8
KO,2,OLS,rolling_5y,4.2820290642611954e-05,0.006543721467377104,0.004968488528519141,0.005776211600180642,0.7224309233161511,0.8524940594026026,0.007417671194544731,0.0034954000147990882,0.002415599999949336,8
KO,2,OLS oriented,rolling_5y,4.2820290642611954e-05,0.006543721467377104,0.004968488528519141,0.005776211600180642,0.7224309233161511,0.8524940594026026,0.007417671194544731,0.004973100032657385,0.0027823999989777803,8
KO,2,Ridge,rolling_5y,4.241059434212466e-05,0.006512341694208363,0.004942047222423318,0.005748657655962179,0.7250866508261806,0.853654604717833,0.007310020602043481,0.014423699991311878,0.0023327000089921057,8
KO,3,Choquet 1-additive,rolling_5y,2.6621320520613944e-05,0.005159585305100977,0.0037182961700605913,0.004353310255089499,0.6334026025726345,0.7975250806222742,0.007378730344357825,0.01765019999584183,0.01860619999933988,8
KO,3,Choquet 1-additive scaled-q,rolling_5y,7.679899149503391e-05,0.008763503380214668,0.006489031387290996,0.00850259252767249,-0.05758504298555778,0.13120146774095007,0.011180747107632305,0.008065500005614012,0.005756499944254756,9
KO,3,Choquet 2-additive,rolling_5y,2.6476487956055104e-05,0.005145530872131184,0.0037008284921280117,0.004305732588312731,0.6353970656643091,0.7975919814995016,0.0066031615653141165,0.05304839997552335,0.07237230002647266,29
KO,3,Choquet 2-additive L1,rolling_5y,2.9944310127456146e-05,0.0054721394470039,0.003918415093330102,0.0047435016870630235,0.5876423127852352,0.7680481024256397,0.0065129164489132,0.18984659999841824,0.06970649998402223,29
KO,3,Choquet 2-additive scaled-q,rolling_5y,7.679899149503388e-05,0.008763503380214666,0.0064890313872909946,0.008502592527672485,-0.057585042985557555,0.13120146774095004,0.011180747107632304,0.009236000012606382,0.006404599989764392,30
