asset,fold,model,evaluation_structure,OOS start,OOS end,best parameters,fitted q
AMZN,5,Choquet 2-additive L1,rolling_5y,2025-01-01,2026-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AMZN,5,Choquet 2-additive scaled-q,rolling_5y,2025-01-01,2026-01-01,{},0.37399925510526655
AMZN,5,Choquet 2-additive scaled-q L1,rolling_5y,2025-01-01,2026-01-01,"{'regressor__penalty': L1Penalty(weight=1e-05, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.3740028665586238
AMZN,5,Elastic net,rolling_5y,2025-01-01,2026-01-01,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}",
AMZN,5,Lasso,rolling_5y,2025-01-01,2026-01-01,{'regressor__alpha': 0.001},
AMZN,5,Monotone linear,rolling_5y,2025-01-01,2026-01-01,{},
AMZN,5,OLS,rolling_5y,2025-01-01,2026-01-01,{},
AMZN,5,OLS oriented,rolling_5y,2025-01-01,2026-01-01,{},
AMZN,5,Ridge,rolling_5y,2025-01-01,2026-01-01,{'regressor__alpha': 10.0},
AMZN,6,Choquet 1-additive,rolling_5y,2026-01-01,2027-01-01,{},
AMZN,6,Choquet 1-additive scaled-q,rolling_5y,2026-01-01,2027-01-01,{},0.37661632226208197
AMZN,6,Choquet 2-additive,rolling_5y,2026-01-01,2027-01-01,{},
AMZN,6,Choquet 2-additive L1,rolling_5y,2026-01-01,2027-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=1e-05, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AMZN,6,Choquet 2-additive scaled-q,rolling_5y,2026-01-01,2027-01-01,{},0.3731748694454316
AMZN,6,Choquet 2-additive scaled-q L1,rolling_5y,2026-01-01,2027-01-01,"{'regressor__penalty': L1Penalty(weight=0.001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.3766163222620335
AMZN,6,Elastic net,rolling_5y,2026-01-01,2027-01-01,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.5}",
AMZN,6,Lasso,rolling_5y,2026-01-01,2027-01-01,{'regressor__alpha': 0.001},
AMZN,6,Monotone linear,rolling_5y,2026-01-01,2027-01-01,{},
AMZN,6,OLS,rolling_5y,2026-01-01,2027-01-01,{},
AMZN,6,OLS oriented,rolling_5y,2026-01-01,2027-01-01,{},
AMZN,6,Ridge,rolling_5y,2026-01-01,2027-01-01,{'regressor__alpha': 0.01},
JPM,0,Choquet 1-additive,rolling_5y,2020-01-01,2021-01-01,{},
JPM,0,Choquet 1-additive scaled-q,rolling_5y,2020-01-01,2021-01-01,{},0.19116226532239347
JPM,0,Choquet 2-additive,rolling_5y,2020-01-01,2021-01-01,{},
JPM,0,Choquet 2-additive L1,rolling_5y,2020-01-01,2021-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
JPM,0,Choquet 2-additive scaled-q,rolling_5y,2020-01-01,2021-01-01,{},0.19116226532239344
JPM,0,Choquet 2-additive scaled-q L1,rolling_5y,2020-01-01,2021-01-01,"{'regressor__penalty': L1Penalty(weight=0.001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.19116226532238745
JPM,0,Elastic net,rolling_5y,2020-01-01,2021-01-01,"{'regressor__alpha': 1e-05, 'regressor__l1_ratio': 0.25}",
JPM,0,Lasso,rolling_5y,2020-01-01,2021-01-01,{'regressor__alpha': 1e-05},
JPM,0,Monotone linear,rolling_5y,2020-01-01,2021-01-01,{},
JPM,0,OLS,rolling_5y,2020-01-01,2021-01-01,{},
JPM,0,OLS oriented,rolling_5y,2020-01-01,2021-01-01,{},
JPM,0,Ridge,rolling_5y,2020-01-01,2021-01-01,{'regressor__alpha': 0.01},
JPM,1,Choquet 1-additive,rolling_5y,2021-01-01,2022-01-01,{},
JPM,1,Choquet 1-additive scaled-q,rolling_5y,2021-01-01,2022-01-01,{},0.33694212230866843
JPM,1,Choquet 2-additive,rolling_5y,2021-01-01,2022-01-01,{},
JPM,1,Choquet 2-additive L1,rolling_5y,2021-01-01,2022-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
JPM,1,Choquet 2-additive scaled-q,rolling_5y,2021-01-01,2022-01-01,{},0.340750625236058
JPM,1,Choquet 2-additive scaled-q L1,rolling_5y,2021-01-01,2022-01-01,"{'regressor__penalty': L1Penalty(weight=0.01, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.33694212230866466
JPM,1,Elastic net,rolling_5y,2021-01-01,2022-01-01,"{'regressor__alpha': 1e-05, 'regressor__l1_ratio': 0.25}",
JPM,1,Lasso,rolling_5y,2021-01-01,2022-01-01,{'regressor__alpha': 1e-05},
JPM,1,Monotone linear,rolling_5y,2021-01-01,2022-01-01,{},
JPM,1,OLS,rolling_5y,2021-01-01,2022-01-01,{},
JPM,1,OLS oriented,rolling_5y,2021-01-01,2022-01-01,{},
JPM,1,Ridge,rolling_5y,2021-01-01,2022-01-01,{'regressor__alpha': 0.01},
JPM,2,Choquet 1-additive,rolling_5y,2022-01-01,2023-01-01,{},
JPM,2,Choquet 1-additive scaled-q,rolling_5y,2022-01-01,2023-01-01,{},0.32881882153775316
JPM,2,Choquet 2-additive,rolling_5y,2022-01-01,2023-01-01,{},
JPM,2,Choquet 2-additive L1,rolling_5y,2022-01-01,2023-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
JPM,2,Choquet 2-additive scaled-q,rolling_5y,2022-01-01,2023-01-01,{},0.3288188215377531
JPM,2,Choquet 2-additive scaled-q L1,rolling_5y,2022-01-01,2023-01-01,"{'regressor__penalty': L1Penalty(weight=1e-05, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.3288188215377531
JPM,2,Elastic net,rolling_5y,2022-01-01,2023-01-01,"{'regressor__alpha': 0.0001, 'regressor__l1_ratio': 0.75}",
JPM,2,Lasso,rolling_5y,2022-01-01,2023-01-01,{'regressor__alpha': 0.0001},
JPM,2,Monotone linear,rolling_5y,2022-01-01,2023-01-01,{},
JPM,2,OLS,rolling_5y,2022-01-01,2023-01-01,{},
JPM,2,OLS oriented,rolling_5y,2022-01-01,2023-01-01,{},
JPM,2,Ridge,rolling_5y,2022-01-01,2023-01-01,{'regressor__alpha': 1.0},
JPM,3,Choquet 1-additive,rolling_5y,2023-01-01,2024-01-01,{},
JPM,3,Choquet 1-additive scaled-q,rolling_5y,2023-01-01,2024-01-01,{},0.3342693170723592
JPM,3,Choquet 2-additive,rolling_5y,2023-01-01,2024-01-01,{},
JPM,3,Choquet 2-additive L1,rolling_5y,2023-01-01,2024-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
JPM,3,Choquet 2-additive scaled-q,rolling_5y,2023-01-01,2024-01-01,{},0.33843106276230905
JPM,3,Choquet 2-additive scaled-q L1,rolling_5y,2023-01-01,2024-01-01,"{'regressor__penalty': L1Penalty(weight=1e-05, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.3384258079139342
JPM,3,Elastic net,rolling_5y,2023-01-01,2024-01-01,"{'regressor__alpha': 0.0001, 'regressor__l1_ratio': 0.75}",
JPM,3,Lasso,rolling_5y,2023-01-01,2024-01-01,{'regressor__alpha': 0.0001},
JPM,3,Monotone linear,rolling_5y,2023-01-01,2024-01-01,{},
JPM,3,OLS,rolling_5y,2023-01-01,2024-01-01,{},
JPM,3,OLS oriented,rolling_5y,2023-01-01,2024-01-01,{},
JPM,3,Ridge,rolling_5y,2023-01-01,2024-01-01,{'regressor__alpha': 1.0},
JPM,4,Choquet 1-additive,rolling_5y,2024-01-01,2025-01-01,{},
JPM,4,Choquet 1-additive scaled-q,rolling_5y,2024-01-01,2025-01-01,{},0.3089970127265309
JPM,4,Choquet 2-additive,rolling_5y,2024-01-01,2025-01-01,{},
