asset,model,first,second,interaction,interpretation
AMZN,Choquet 2-additive scaled-q L1,market_excess_return,sector_excess_return,1.611613104079978e-09,complementary
AMZN,Choquet 2-additive scaled-q L1,market_excess_return,size_spread,-7.308792079885326e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,market_excess_return,value_growth_spread,-1.276555641749333e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,momentum_spread,low_volatility_spread,-3.2054940433493917e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,momentum_spread,quality_spread,-3.959282252978073e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,quality_spread,low_volatility_spread,-2.5665125534072674e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,sector_excess_return,low_volatility_spread,-1.1459483177193397e-10,redundant
AMZN,Choquet 2-additive scaled-q L1,sector_excess_return,momentum_spread,-2.962762643554662e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,sector_excess_return,quality_spread,-2.028019303416487e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,sector_excess_return,size_spread,-6.802601356289034e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,sector_excess_return,value_growth_spread,-1.12220328215192e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,size_spread,low_volatility_spread,-7.009626160995691e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,size_spread,momentum_spread,-6.3175718758209e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,size_spread,quality_spread,-7.042572604717039e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,size_spread,value_growth_spread,-5.1592245882877335e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,value_growth_spread,low_volatility_spread,-1.4368676230317828e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,value_growth_spread,momentum_spread,-2.366326261789749e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,value_growth_spread,quality_spread,-2.2512011329152886e-09,redundant
JPM,Choquet 1-additive,market_excess_return,low_volatility_spread,1.665831462933454e-20,complementary
JPM,Choquet 1-additive,market_excess_return,momentum_spread,0.0,neutral
JPM,Choquet 1-additive,market_excess_return,quality_spread,-1.1976481185544304e-18,redundant
JPM,Choquet 1-additive,market_excess_return,sector_excess_return,1.3605325543114322e-17,complementary
JPM,Choquet 1-additive,market_excess_return,size_spread,-4.625929269271486e-19,redundant
JPM,Choquet 1-additive,market_excess_return,value_growth_spread,4.625929269271486e-19,complementary
JPM,Choquet 1-additive,momentum_spread,low_volatility_spread,-4.6022123467483684e-20,redundant
JPM,Choquet 1-additive,momentum_spread,quality_spread,2.4309845586198415e-19,complementary
JPM,Choquet 1-additive,quality_spread,low_volatility_spread,-1.1737617894418593e-18,redundant
JPM,Choquet 1-additive,sector_excess_return,low_volatility_spread,-7.111688625147104e-19,redundant
JPM,Choquet 1-additive,sector_excess_return,momentum_spread,3.0886209388680812e-18,complementary
JPM,Choquet 1-additive,sector_excess_return,quality_spread,-2.6385076306971456e-17,redundant
JPM,Choquet 1-additive,sector_excess_return,size_spread,-2.2204460492503138e-17,redundant
JPM,Choquet 1-additive,sector_excess_return,value_growth_spread,2.263430147880312e-17,complementary
JPM,Choquet 1-additive,size_spread,low_volatility_spread,6.563375963957822e-19,complementary
JPM,Choquet 1-additive,size_spread,momentum_spread,6.938893903907229e-19,complementary
JPM,Choquet 1-additive,size_spread,quality_spread,5.985134805298886e-19,complementary
JPM,Choquet 1-additive,size_spread,value_growth_spread,-1.1564823173178715e-18,redundant
JPM,Choquet 1-additive,value_growth_spread,low_volatility_spread,-7.396291695424551e-19,redundant
JPM,Choquet 1-additive,value_growth_spread,momentum_spread,-6.938893903907229e-19,redundant
JPM,Choquet 1-additive,value_growth_spread,quality_spread,-7.974532854083486e-19,redundant
