asset,model,feature,Shapley importance
NVDA,Choquet 2-additive,low_volatility_spread,0.20824857449527878
NVDA,Choquet 2-additive,market_excess_return,0.13020638681079963
NVDA,Choquet 2-additive,momentum_spread,8.05070440842268e-18
NVDA,Choquet 2-additive,quality_spread,0.09934533388472513
NVDA,Choquet 2-additive,sector_excess_return,0.33879273826402584
NVDA,Choquet 2-additive,size_spread,0.0345018451672351
NVDA,Choquet 2-additive,value_growth_spread,0.1889051213779357
NVDA,Choquet 2-additive L1,low_volatility_spread,0.209136784447987
NVDA,Choquet 2-additive L1,market_excess_return,0.13255917122023766
NVDA,Choquet 2-additive L1,momentum_spread,-1.7493038350819178e-18
NVDA,Choquet 2-additive L1,quality_spread,0.09846265324387657
NVDA,Choquet 2-additive L1,sector_excess_return,0.33479998752201634
NVDA,Choquet 2-additive L1,size_spread,0.03382303082222047
NVDA,Choquet 2-additive L1,value_growth_spread,0.19121837274366224
NVDA,Choquet 2-additive scaled-q,low_volatility_spread,0.18351040124710793
NVDA,Choquet 2-additive scaled-q,market_excess_return,0.17150915620328774
NVDA,Choquet 2-additive scaled-q,momentum_spread,0.07209359903854644
NVDA,Choquet 2-additive scaled-q,quality_spread,0.1361995079637353
NVDA,Choquet 2-additive scaled-q,sector_excess_return,0.17789602178792133
NVDA,Choquet 2-additive scaled-q,size_spread,0.058773497682924246
NVDA,Choquet 2-additive scaled-q,value_growth_spread,0.20001781607647687
NVDA,Choquet 2-additive scaled-q L1,low_volatility_spread,0.18384784735094115
NVDA,Choquet 2-additive scaled-q L1,market_excess_return,0.1713165315861271
NVDA,Choquet 2-additive scaled-q L1,momentum_spread,0.07321538865526318
NVDA,Choquet 2-additive scaled-q L1,quality_spread,0.13412461074198584
NVDA,Choquet 2-additive scaled-q L1,sector_excess_return,0.17813602807252757
NVDA,Choquet 2-additive scaled-q L1,size_spread,0.06100172727635146
NVDA,Choquet 2-additive scaled-q L1,value_growth_spread,0.19835786631680363
UNH,Choquet 1-additive,low_volatility_spread,0.05539363974521905
UNH,Choquet 1-additive,market_excess_return,0.12819164468695843
UNH,Choquet 1-additive,momentum_spread,0.14814553085616936
UNH,Choquet 1-additive,quality_spread,0.191504256405463
UNH,Choquet 1-additive,sector_excess_return,0.37361483573390836
UNH,Choquet 1-additive,size_spread,0.10008247738401928
