asset,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,OOS folds
NVDA,Monotone linear,rolling_5y,0.0003376573385655287,0.018375454785270723,0.013193879464532165,0.01433479545266684,0.6828790878854529,0.8266923311436882,0.018110813244664188,0.04211950005264953,0.027816100046038628,8,7
NVDA,OLS,rolling_5y,0.0003474820999117783,0.018640871758364156,0.01359776723667797,0.014407807485571003,0.6736518716411188,0.8256795760083702,0.01759300317130756,0.026450599951203912,0.015284700028132647,8,7
NVDA,OLS oriented,rolling_5y,0.0003474820999117783,0.018640871758364156,0.01359776723667797,0.014407807485571003,0.6736518716411188,0.8256795760083702,0.01759300317130756,0.03487409988883883,0.02195739996386692,8,7
NVDA,Ridge,rolling_5y,0.00034674953541344094,0.018621211974880716,0.013572057114801146,0.014366774385485573,0.6743398813342664,0.8261332053850247,0.017507523688438224,0.10524869995424524,0.015511800011154264,8,7
UNH,Choquet 1-additive,rolling_5y,0.00036490546950635735,0.019102499038250398,0.012066568849317066,0.015575731967626377,0.24090725838692362,0.5070984617029761,0.01612063840965935,0.11905460001435131,0.10685739992186427,8,7
UNH,Choquet 1-additive scaled-q,rolling_5y,0.00048221736922650566,0.021959448290576555,0.014200479313954347,0.01883671183284527,-0.0031302226156850743,0.20316648014861188,0.019234340277432295,0.052830600063316524,0.03895480005303398,9,7
UNH,Choquet 2-additive,rolling_5y,0.00036730488304004613,0.01916519979128958,0.012025529283854438,0.015548077837087573,0.2359158906225125,0.5033753584391795,0.01583002210432672,0.3178898000041954,0.25605730002280325,29,7
UNH,Choquet 2-additive L1,rolling_5y,0.0003618836399519191,0.01902323947049816,0.011937279557543121,0.015445909762257995,0.24719340390364897,0.5111920333212713,0.015757726041203155,1.3101111999130808,0.39688100008061156,29,7
UNH,Choquet 2-additive scaled-q,rolling_5y,0.0004822173692265056,0.021959448290576555,0.014200479313954347,0.01883671183284527,-0.0031302226156848523,0.20316648014861188,0.019234340277432295,0.0649832000490278,0.046041399938985705,30,7
UNH,Choquet 2-additive scaled-q L1,rolling_5y,0.00048221736812697645,0.02195944826554111,0.01420047927803214,0.01883671171632548,-0.0031302203283949392,0.20316648126263265,0.019234340232026588,0.27795969997532666,0.05410980002488941,30,7
UNH,Elastic net,rolling_5y,0.000312753359353482,0.017684834162453488,0.010800127018806092,0.014248761043513768,0.3493964195124287,0.5918223942338496,0.014877667625400449,0.2362279999651946,0.01640869991388172,8,7
UNH,Lasso,rolling_5y,0.000315293422435108,0.017756503665843342,0.010800128743216824,0.014274089937192562,0.34411246624335334,0.5881571572962142,0.014889684984637113,0.1058732999372296,0.01565890002530068,8,7
UNH,Monotone linear,rolling_5y,0.0003275372086417471,0.018097989077291075,0.011007314690398793,0.014539322300696406,0.31864239244069104,0.5647303226822752,0.015492645683566853,0.03695160005008802,0.02143160009291023,8,7
UNH,OLS,rolling_5y,0.00030867965421325786,0.017569281550856252,0.01076792578940567,0.014125116431734941,0.35787072385102725,0.5981235353701811,0.014984751500622258,0.026373600063379854,0.015684699988923967,8,7
UNH,OLS oriented,rolling_5y,0.00030867965421325786,0.017569281550856252,0.01076792578940567,0.014125116431734941,0.35787072385102725,0.5981235353701811,0.014984751500622258,0.0348467999137938,0.021127100102603436,8,7
UNH,Ridge,rolling_5y,0.00030882394364127017,0.017573387369578756,0.01076597164827728,0.014134086989033127,0.3575705665044031,0.597873139053674,0.01497968073086702,0.10264659998938441,0.015362199977971613,8,7
WMT,Choquet 1-additive,rolling_5y,0.0001542111666432481,0.012418178877888984,0.008418089691854926,0.010419540344551424,0.2853427021454963,0.555913231277559,0.01145572481655413,0.14852470002369955,0.1290154999587685,8,7
